Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
CCL	  METFORMIN+SITAGLIPTIN	   SITAMET            		3446502117	32.05	24.88	6882945	37.37	11.95	2759946820	29.06	42.6	6148008	29.33	22.81	  METFORMIN+SITAGLIPTIN
GETZ PHARMA	  METFORMIN+SITAGLIPTIN	   TREVIAMET          		1596802271	14.85	6.85	1830721	9.94	-43.97	1494442032	15.74	26.29	3267672	15.59	6.84	  METFORMIN+SITAGLIPTIN
HILTON	  METFORMIN+SITAGLIPTIN	   SITAGLU MET        		1585115377	14.74	13.63	2157361	11.71	-34.85	1395035180	14.69	22.51	3311606	15.8	11.09	  METFORMIN+SITAGLIPTIN
PHARMEVO PVT. LTD.	  METFORMIN+SITAGLIPTIN	   INOSITA PLUS       		978437912	9.1	13.7	1106269	6.01	2.3	860574650	9.06	25.15	1081389	5.16	10	  METFORMIN+SITAGLIPTIN
HIGHNOON	  METFORMIN+SITAGLIPTIN	   TAGIPMET           		500085079	4.65	4.46	820467	4.45	-32.71	478720944	5.04	3.04	1219387	5.82	-4.3	  METFORMIN+SITAGLIPTIN
SAMI	  METFORMIN+SITAGLIPTIN	   ITAGLIP PLUS       		411687407	3.83	18.57	961888	5.22	6.87	347200730	3.66	27.56	900063	4.29	11.8	  METFORMIN+SITAGLIPTIN
THE SEARLE COMPANY	  METFORMIN+SITAGLIPTIN	   JENTIN MET         		330096978	3.07	-33.45	834617	4.53	-33.73	495982555	5.22	14.33	1259388	6.01	9.83	  METFORMIN+SITAGLIPTIN
MARTIN DOW MARKER	  METFORMIN+SITAGLIPTIN	   SITAPHAGE          		303382321	2.82	25.72	779746	4.23	17.88	241319900	2.54	60.67	661491	3.16	33.69	  METFORMIN+SITAGLIPTIN
GENIX PHARMA	  METFORMIN+SITAGLIPTIN	   GVIA-M             		238274006	2.22	15.43	289007	1.57	-39.33	206419221	2.17	7.2	476368	2.27	-13.78	  METFORMIN+SITAGLIPTIN
MARTIN DOW LIMITED	  METFORMIN+SITAGLIPTIN	   DUVEL PLUS         		176211294	1.64	68.37	383165	2.08	38.32	104655881	1.1	3.53	277014	1.32	-2.89	  METFORMIN+SITAGLIPTIN
ATCO	  METFORMIN+SITAGLIPTIN	   NEOGLIP            		175616265	1.63	12.34	360624	1.96	7.85	156326867	1.65	11.82	334389	1.6	-7.68	  METFORMIN+SITAGLIPTIN
FEROZSONS	  METFORMIN+SITAGLIPTIN	   SITAGEN-M          		172543235	1.6	-12.44	231461	1.26	-16.71	197065051	2.08	48.04	277911	1.33	7.55	  METFORMIN+SITAGLIPTIN
SCILIFE	  METFORMIN+SITAGLIPTIN	   GLUSIMET           		163424123	1.52	-5.02	201553	1.09	-16.79	172057268	1.81	6.57	242220	1.16	4.74	  METFORMIN+SITAGLIPTIN
AGP LIMITED	  METFORMIN+SITAGLIPTIN	   GLYZIAMET          		92339878	0.86	33.14	210326	1.14	23.82	69353675	0.73	79.45	169869	0.81	53.08	  METFORMIN+SITAGLIPTIN
MSD	  METFORMIN+SITAGLIPTIN	   JANUMET            		72208558	0.67	115.78	54807	0.3	93.37	33464459	0.35	-86.91	28343	0.14	-90.58	  METFORMIN+SITAGLIPTIN
SAFFRON PHARMA	  METFORMIN+SITAGLIPTIN	   ALOSITA-MET        		62029336	0.58	14.26	151202	0.82	-3.31	54285718	0.57	21.81	156383	0.75	14.79	  METFORMIN+SITAGLIPTIN
MACTER	  METFORMIN+SITAGLIPTIN	   SILO-M             		61702164	0.57	-8.77	137081	0.74	-13.56	67634413	0.71	-7.7	158594	0.76	-17.51	  METFORMIN+SITAGLIPTIN
SHAIGAN PHARMA	  METFORMIN+SITAGLIPTIN	   ADMIT              		55140540	0.51	7.06	143027	0.78	0.53	51506602	0.54	24	142267	0.68	7.58	  METFORMIN+SITAGLIPTIN
NABIQASIM	  METFORMIN+SITAGLIPTIN	   GLYTEC-M           		50340617	0.47	-11.42	110540	0.6	-23.11	56832324	0.6	2.42	143770	0.69	-3.96	  METFORMIN+SITAGLIPTIN
CELL LABORATORIES	  METFORMIN+SITAGLIPTIN	   SITAZAN            		45547917	0.42	21.26	172351	0.94	21.22	37562466	0.4	-15.62	142175	0.68	-15.73	  METFORMIN+SITAGLIPTIN
